,,,,,,,,,,,,,,OD490,,,,,,,,,OD600,,,,,,,,,,,,,,,
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.098 ,0.093 ,0.093 ,0.095 ,0.097 ,0.103 ,0.097 ,0.093 ,0.096 ,0.099 ,0.105 ,0.102 ,,0.065 ,0.060 ,0.060 ,0.060 ,0.059 ,0.062 ,0.059 ,0.062 ,0.062 ,0.063 ,0.065 ,0.064 
,LA-T2,,,,,,LA-T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.442 ,0.400 ,0.435 ,0.366 ,0.412 ,0.476 ,0.490 ,0.490 ,0.520 ,0.471 ,0.512 ,0.357 ,,0.163 ,0.147 ,0.153 ,0.136 ,0.146 ,0.163 ,0.166 ,0.168 ,0.173 ,0.162 ,0.177 ,0.135 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.097 ,0.089 ,0.094 ,0.094 ,0.098 ,0.144 ,0.110 ,0.099 ,0.102 ,0.107 ,0.110 ,0.613 ,,0.063 ,0.060 ,0.060 ,0.059 ,0.061 ,0.075 ,0.063 ,0.063 ,0.063 ,0.064 ,0.063 ,0.197 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.098 ,0.095 ,0.094 ,0.097 ,0.102 ,0.106 ,0.105 ,0.110 ,0.103 ,0.112 ,0.111 ,0.109 ,,0.061 ,0.059 ,0.059 ,0.060 ,0.061 ,0.061 ,0.062 ,0.063 ,0.063 ,0.062 ,0.064 ,0.064 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.106 ,0.096 ,0.099 ,0.098 ,0.103 ,0.111 ,0.116 ,0.110 ,0.107 ,0.114 ,0.132 ,0.108 ,,0.064 ,0.057 ,0.061 ,0.061 ,0.060 ,0.062 ,0.063 ,0.065 ,0.063 ,0.071 ,0.073 ,0.065 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate 6,LA-T0,,,,,,LAEE-T0,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.117 ,0.112 ,0.116 ,0.126 ,0.109 ,0.131 ,0.127 ,0.121 ,0.120 ,0.126 ,0.143 ,0.132 ,,0.094 ,0.088 ,0.084 ,0.084 ,0.079 ,0.083 ,0.099 ,0.082 ,0.090 ,0.089 ,0.094 ,0.100 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.115 ,0.115 ,0.108 ,0.120 ,0.127 ,0.121 ,0.126 ,0.123 ,0.119 ,0.120 ,0.140 ,0.124 ,,0.087 ,0.084 ,0.095 ,0.087 ,0.081 ,0.087 ,0.080 ,0.084 ,0.084 ,0.084 ,0.088 ,0.087 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.123 ,0.112 ,0.112 ,0.111 ,0.115 ,0.128 ,0.119 ,0.115 ,0.113 ,0.120 ,0.136 ,0.140 ,,0.085 ,0.084 ,0.080 ,0.077 ,0.078 ,0.084 ,0.077 ,0.081 ,0.082 ,0.084 ,0.088 ,0.096 
